Date,Adj Close,Close,High,Low,Open,Volume
2009-01-02,878.7999877929688,878.7999877929688,881.5,868.9000244140625,881.5,35.0
2009-01-05,857.2000122070312,857.2000122070312,883.5,847.0,882.0,46.0
2009-01-06,865.4000244140625,865.4000244140625,867.5999755859375,840.0,855.0999755859375,35.0
2009-01-07,841.0999755859375,841.0999755859375,867.0,837.7000122070312,862.0,113.0
2009-01-08,853.9000244140625,853.9000244140625,861.0,837.9000244140625,837.9000244140625,101.0
2009-01-09,854.2999877929688,854.2999877929688,862.0999755859375,855.9000244140625,855.9000244140625,255.0
2009-01-12,820.2999877929688,820.2999877929688,844.4000244140625,815.4000244140625,844.4000244140625,123.0
2009-01-13,820.0999755859375,820.0999755859375,825.5999755859375,815.7000122070312,825.5999755859375,72.0
2009-01-14,808.2000122070312,808.2000122070312,827.0999755859375,814.0,825.9000244140625,20.0
2009-01-15,806.7000122070312,806.7000122070312,808.7999877929688,805.5999755859375,805.5999755859375,5.0
2009-01-16,839.2999877929688,839.2999877929688,842.5,834.0,834.0,16.0
2009-01-20,854.5999755859375,854.5999755859375,862.7000122070312,824.0,838.7000122070312,64.0
2009-01-21,849.5999755859375,849.5999755859375,852.5999755859375,843.7999877929688,850.5,20.0
2009-01-22,858.2000122070312,858.2000122070312,860.9000244140625,846.2000122070312,856.7999877929688,37.0
2009-01-23,895.2999877929688,895.2999877929688,899.0999755859375,875.0,875.0,57.0
2009-01-26,908.5,908.5,911.5999755859375,901.2000122070312,907.2999877929688,52.0
2009-01-27,899.2000122070312,899.2000122070312,903.0,895.2000122070312,902.7999877929688,18.0
2009-01-28,888.0999755859375,888.0999755859375,894.5999755859375,883.7000122070312,886.0999755859375,48.0
2009-01-29,905.0999755859375,905.0999755859375,909.7000122070312,874.2000122070312,888.0999755859375,137271.0
2009-01-30,927.2999877929688,927.2999877929688,930.2999877929688,902.0,909.7999877929688,66607.0
2009-02-02,906.7000122070312,906.7000122070312,928.7999877929688,902.2000122070312,924.2999877929688,10460.0
2009-02-03,892.0,892.0,913.2999877929688,889.7999877929688,903.2000122070312,3220.0
2009-02-04,901.5999755859375,901.5999755859375,909.2000122070312,897.0,900.0999755859375,1451.0
2009-02-05,913.5999755859375,913.5999755859375,924.4000244140625,904.4000244140625,906.2999877929688,465.0
2009-02-06,913.9000244140625,913.9000244140625,918.5,909.5,914.5,770.0
2009-02-09,892.4000244140625,892.4000244140625,911.0,891.7999877929688,910.0,334.0
2009-02-10,913.7000122070312,913.7000122070312,917.5,892.0,898.0,984.0
2009-02-11,943.7999877929688,943.7999877929688,947.2000122070312,912.2000122070312,913.7000122070312,252.0
2009-02-12,948.5,948.5,952.7999877929688,936.4000244140625,938.7999877929688,892.0
2009-02-13,941.5,941.5,947.2999877929688,934.2000122070312,947.2999877929688,335.0
2009-02-17,967.0,967.0,973.7999877929688,937.2999877929688,939.5,137.0
2009-02-18,977.7000122070312,977.7000122070312,988.0,962.2000122070312,968.4000244140625,1639.0
2009-02-19,976.0999755859375,976.0999755859375,986.2000122070312,972.0,982.7000122070312,422.0
2009-02-20,1001.7999877929688,1001.7999877929688,1004.9000244140625,971.5999755859375,974.0,202.0
2009-02-23,994.5999755859375,994.5999755859375,996.5,980.0,995.5999755859375,219.0
2009-02-24,969.0999755859375,969.0999755859375,991.5999755859375,963.2000122070312,988.0,215.0
2009-02-25,965.7000122070312,965.7000122070312,977.5,953.0999755859375,963.2999877929688,243.0
2009-02-26,941.7999877929688,941.7999877929688,956.0,933.0,953.0,1019.0
2009-02-27,941.5,941.5,963.2000122070312,928.0999755859375,943.4000244140625,687.0
2009-03-02,939.0,939.0,963.2000122070312,924.5,945.0,730.0
2009-03-03,912.9000244140625,912.9000244140625,931.7999877929688,906.4000244140625,927.0,474.0
2009-03-04,906.0,906.0,923.2000122070312,900.0999755859375,914.9000244140625,362.0
2009-03-05,927.0,927.0,932.5999755859375,908.9000244140625,912.0,155.0
2009-03-06,942.0999755859375,942.0999755859375,944.5,931.7999877929688,933.5,141.0
2009-03-09,917.7000122070312,917.7000122070312,940.5,914.5,940.5,308.0
2009-03-10,895.5999755859375,895.5999755859375,921.7999877929688,892.0999755859375,921.5999755859375,838.0
2009-03-11,910.4000244140625,910.4000244140625,912.4000244140625,894.0999755859375,894.7000122070312,120.0
2009-03-12,923.7000122070312,923.7000122070312,927.5,908.0,909.2000122070312,221.0
